dataset,n,p,model,nu,kernel,gamma,AUC,Accuracy,Precision,Recall,BalAcc,failure,contamination,n_estimators,n_neighbors,eps,min_samples,M
ring_outliers,1030,2,OneClassSVM,0.3,rbf,auto,0.86,0.7281553398058253,0.0967741935483871,1.0,0.86,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,rbf,0.001,0.86,0.7281553398058253,0.0967741935483871,1.0,0.86,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,rbf,0.01,0.861,0.7300970873786408,0.0974025974025974,1.0,0.861,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,rbf,0.1,0.86,0.7281553398058253,0.0967741935483871,1.0,0.86,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,rbf,1.0,0.861,0.7300970873786408,0.0974025974025974,1.0,0.861,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,poly,scale,0.961,0.9242718446601942,0.2777777777777778,1.0,0.961,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,poly,auto,0.6066666666666667,0.8640776699029126,0.0769230769230769,0.3333333333333333,0.6066666666666667,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,poly,0.001,0.7545,0.5233009708737864,0.0575815738963531,1.0,0.7545,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,poly,0.01,0.755,0.5242718446601942,0.0576923076923076,1.0,0.755,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,poly,0.1,0.7573333333333332,0.8427184466019417,0.1162790697674418,0.6666666666666666,0.7573333333333333,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,poly,1.0,0.6151666666666666,0.8805825242718447,0.0884955752212389,0.3333333333333333,0.6151666666666666,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.3,linear,scale,0.9055,0.816504854368932,0.136986301369863,1.0,0.9055,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,rbf,scale,0.7575000000000001,0.529126213592233,0.058252427184466,1.0,0.7575000000000001,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,rbf,auto,0.757,0.5281553398058253,0.0581395348837209,1.0,0.757,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,rbf,0.001,0.7575000000000001,0.529126213592233,0.058252427184466,1.0,0.7575000000000001,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,rbf,0.01,0.757,0.5281553398058253,0.0581395348837209,1.0,0.757,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,rbf,0.1,0.758,0.5300970873786408,0.0583657587548638,1.0,0.758,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,rbf,1.0,0.756,0.5262135922330097,0.0579150579150579,1.0,0.756,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,poly,scale,0.7823333333333333,0.8912621359223301,0.1639344262295081,0.6666666666666666,0.7823333333333333,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,poly,auto,0.6051666666666666,0.8611650485436894,0.075187969924812,0.3333333333333333,0.6051666666666666,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,poly,0.001,0.41,0.7961165048543689,0.0,0.0,0.41,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,poly,0.01,0.378,0.7339805825242719,0.0,0.0,0.378,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,poly,0.1,0.6186666666666667,0.887378640776699,0.0943396226415094,0.3333333333333333,0.6186666666666667,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,poly,1.0,0.2906666666666666,0.2504854368932039,0.0131233595800524,0.3333333333333333,0.2906666666666666,False,,,,,,
ring_outliers,1030,2,OneClassSVM,0.5,linear,scale,0.3965,0.7699029126213592,0.0,0.0,0.3965,False,,,,,,
ring_outliers,1030,2,IsolationForest,,,,0.5984999999999999,0.9737864077669904,0.6666666666666666,0.2,0.5985,False,0.01,10.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.6833333333333333,0.9815533980582524,1.0,0.3666666666666666,0.6833333333333333,False,0.01,50.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.6833333333333333,0.9815533980582524,1.0,0.3666666666666666,0.6833333333333333,False,0.01,100.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.6833333333333333,0.9815533980582524,1.0,0.3666666666666666,0.6833333333333333,False,0.01,200.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.6833333333333333,0.9815533980582524,1.0,0.3666666666666666,0.6833333333333333,False,0.01,300.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.9895,0.9796116504854367,0.5882352941176471,1.0,0.9895,False,0.05,10.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.989,0.9786407766990292,0.5769230769230769,1.0,0.989,False,0.05,50.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.989,0.9786407766990292,0.5769230769230769,1.0,0.989,False,0.05,100.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.989,0.9786407766990292,0.5769230769230769,1.0,0.989,False,0.05,200.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.989,0.9786407766990292,0.5769230769230769,1.0,0.989,False,0.05,300.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.964,0.9300970873786408,0.2941176470588235,1.0,0.964,False,0.1,10.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.9635,0.929126213592233,0.2912621359223301,1.0,0.9635,False,0.1,50.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.9635,0.929126213592233,0.2912621359223301,1.0,0.9635,False,0.1,100.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.9635,0.929126213592233,0.2912621359223301,1.0,0.9635,False,0.1,200.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.9635,0.929126213592233,0.2912621359223301,1.0,0.9635,False,0.1,300.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.9375,0.8786407766990292,0.1935483870967742,1.0,0.9375,False,0.15,10.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.9375,0.8786407766990292,0.1935483870967742,1.0,0.9375,False,0.15,50.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.9375,0.8786407766990292,0.1935483870967742,1.0,0.9375,False,0.15,100.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.9375,0.8786407766990292,0.1935483870967742,1.0,0.9375,False,0.15,200.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.9375,0.8786407766990292,0.1935483870967742,1.0,0.9375,False,0.15,300.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.912,0.829126213592233,0.145631067961165,1.0,0.912,False,0.2,10.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.912,0.829126213592233,0.145631067961165,1.0,0.912,False,0.2,50.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.912,0.829126213592233,0.145631067961165,1.0,0.912,False,0.2,100.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.912,0.829126213592233,0.145631067961165,1.0,0.912,False,0.2,200.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.912,0.829126213592233,0.145631067961165,1.0,0.912,False,0.2,300.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.8605,0.7291262135922331,0.0970873786407767,1.0,0.8605,False,0.3,10.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.8605,0.7291262135922331,0.0970873786407767,1.0,0.8605,False,0.3,50.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.8605,0.7291262135922331,0.0970873786407767,1.0,0.8605,False,0.3,100.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.8605,0.7291262135922331,0.0970873786407767,1.0,0.8605,False,0.3,200.0,,,,
ring_outliers,1030,2,IsolationForest,,,,0.8605,0.7291262135922331,0.0970873786407767,1.0,0.8605,False,0.3,300.0,,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.5288333333333333,0.9640776699029128,0.1818181818181818,0.0666666666666666,0.5288333333333334,False,0.01,,5.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.5426666666666666,0.9281553398058252,0.0769230769230769,0.1333333333333333,0.5426666666666666,False,0.05,,5.0,,,
ring_outliers,1030,2,LocalOutlierFactor,,,,0.5858333333333333,0.8864077669902912,0.0776699029126213,0.2666666666666666,0.5858333333333333,False,0.1,,5.0,,,
